Discarding_reason	Participant	Included_ERP	Included_GC	GC	Video	EEG	Cal	Gaze	Onset_V	Onset_P	MatlabF	N_trials	N_trials_40p	N_trials_60p	N_trials_80p	N_trials_90p
x	4	0	1	1	2	1	1	1	1	1	0	102	88	76	66	57
x	5	1	1	0	1	1	1	1	1	1	1	144	61	54	45	40
x	6	1	1	1	1	1	1	1	1	1	0	97	77	67	55	42
x	7	1	1	1	1	1	1	1	1	1	1	144	119	102	87	75
x	8	1	1	2	1	1	1	1	1	1	1	142	33	2	0	0
H	9	0	0	2	0	1	1	1	1	1	1	142	58	34	21	12
x	10	1	1	0	1	1	1	1	1	1	1	76	37	32	25	23
x	12	1	1	1	1	1	1	1	1	1	1	144	132	119	112	102
x	13	0	1	1	1	1	1	1	1	1	1	131	83	43	20	10
H	14	0	0	1	0	1	1	1	1	1	1	143	105	52	34	18
x	15	1	1	1	1	1	1	1	1	1	1	144	103	80	55	40
H	16	0	0	2	0	1	1	1	1	1	1	143	32	1	0	0
x	17	1	1	0	1	1	1	1	1	1	0	143	86	20	2	1
x	18	0	1	1	1	1	1	1	1	1	1	71	55	48	39	28
H	19	0	0	3	0	2	1	1	1	1	1	3	0	0	0	0
v	20	0	0	3	1	1	1	1	1	1	1	0	0	0	0	0
V	22	0	0	3	1	1	1	1	1	1	0	0	0	0	0	0
x	23	0	0	0	1	1	1	1	1	1	1	32	10	5	0	0
V	24	0	0	0	1	2	1	1	1	1	0	13	10	8	8	8
H	25	0	0	0	0	1	1	1	1	1	1	112	56	28	14	4
V	26	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0
H	27	0	1	0	0	1	1	1	1	1	0	144	25	5	1	0
x	28	0	1	0	1	1	1	1	1	1	0	144	47	9	3	0
x	29	1	1	1	1	1	1	1	1	1	0	131	104	90	79	75
x	30	0	1	1	1	1	1	1	1	1	0	88	73	65	51	42
x	31	1	1	1	1	2	1	1	1	1	0	144	71	15	4	1
H	32	0	0	1	0	2	1	1	1	1	2	144	120	115	104	96
H	34	0	0	0	0	2	1	1	1	1	2	144	60	44	33	26
H	35	0	0	1	0	2	1	1	1	1	1	76	36	13	8	4
H	36	0	0	0	0	2	1	1	1	1	1	100	6	0	0	0
x	37	0	1	1	2	2	1	1	1	1	1	140	70	29	14	9
V	38	0	0	0	2	2	1	1	1	1	1	16	4	0	0	0
x	40	0	1	1	2	2	1	1	1	1	1	74	67	64	57	52
V	41	0	0	0	2	2	1	1	1	1	1	19	0	0	0	0
x	42	1	1	0	2	2	1	1	1	1	1	143	56	33	24	18
x	43	0	1	1	2	2	1	1	1	1	1	69	52	47	37	32
x	44	1	1	0	2	2	1	1	1	1	1	144	44	32	29	28
H	45	0	0	0	2	2	1	1	1	1	1	124	49	32	21	18
x	46	1	1	1	2	2	1	1	1	1	1	143	127	118	107	90
V	48	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0
x	49	0	1	0	1	1	1	1	1	1	1	144	59	31	22	11
x	50	1	1	0	1	1	1	1	1	1	1	143	123	113	105	97
