Participant	GC	Time video	Time ERP
10.0	0.0	368.5240994	182.488052949	
12.0	1.0	371.6739906	411.580225908	
13.0	1.0	378.637978	419.222938084	
14.0	1.0	378.88666627	293.006163914	
15.0	1.0	388.7504242	507.110060688	
16.0	2.0	367.77803155	342.942493386	
17.0	0.0	418.1290013	263.892229868	
18.0	1.0	386.87751744	252.18728484	
19.0	3.0	433.94591717	0.0	
20.0	3.0	209.03225062	0.0	
22.0	3.0	1523.1046436	0.0	
23.0	0.0	456.24509555	55.938746229	
24.0	0.0	381.6713876	23.990028348	
25.0	0.0	378.0404547	235.20994806	
26.0	0.0	163.7692955	0.0	
27.0	0.0	517.87034784	258.039625364	
28.0	0.0	373.05039005	262.798104192	
29.0	1.0	368.68985305	376.879569778	
30.0	1.0	374.4096139	268.103383534	
31.0	1.0	390.9725044	478.262593137	
32.0	1.0	377.57637365	409.275971987	
34.0	0.0	368.8562301	258.553680236	
35.0	1.0	375.13891939	305.705106197	
36.0	0.0	459.9583342	178.641670764	
37.0	1.0	287.0533273	344.185520709	
38.0	0.0	337.5044635	100.885298643	
4.0	1.0	370.9783242	303.399765183	
40.0	1.0	303.49959443	189.948640649	
41.0	0.0	591.00020402	32.396567781	
42.0	0.0	382.99691318	260.742854538	
43.0	1.0	374.87388009	264.671479253	
44.0	0.0	408.6953726	337.355075437	
45.0	0.0	360.97941445	226.821035734	
46.0	1.0	368.34124655	356.304878059	
48.0	0.0	484.47858653	0.0	
49.0	0.0	475.52730556	258.039465552	
5.0	0.0	420.18497253	272.961252669	
50.0	0.0	371.40864169	340.57159074	
6.0	1.0	371.2760733	334.702009405	
7.0	1.0	367.181297	359.70395133	
8.0	2.0	383.7272275	423.534179145	
9.0	2.0	375.22245949	418.246667696	
