Trial	A/R	Trigger_mode
1	1	4
2	1	3
3	1	1
4	1	2
5	1	1
6	1	1
7	1	2
8	1	1
9	1	2
10	1	1
11	1	1
12	1	1
13	1	1
14	1	2
15	1	1
16	1	1
17	1	1
18	1	2
19	1	1
20	1	1
21	1	1
22	1	1
23	1	2
24	1	1
25	1	2
26	1	1
27	1	1
28	1	1
29	1	1
30	1	2
31	1	1
32	1	1
33	1	2
34	1	2
35	1	1
36	1	2
37	1	1
38	1	1
39	1	1
40	1	1
41	1	1
42	1	2
43	1	1
44	1	1
45	1	1
46	1	1
47	1	1
48	1	1
49	1	1
50	1	1
51	0	1
52	0	1
53	0	1
54	1	1
55	1	1
56	1	1
57	1	1
58	1	1
59	0	1
60	1	2
61	1	1
62	1	1
63	1	1
64	1	2
65	1	1
66	1	2
67	1	1
68	1	1
69	0	1
70	0	2
71	0	1
72	0	2
73	1	1
74	1	1
75	1	1
76	0	1
77	1	3
78	1	1
79	1	1
80	1	2
81	1	3
82	1	3
83	1	1
84	1	3
85	1	3
86	1	1
87	1	1
88	1	1
89	1	1
90	1	1
91	1	1
92	1	1
93	1	3
94	1	1
95	1	3
96	1	3
97	1	2
98	1	3
99	1	1
100	1	1
101	1	2
102	1	2
103	1	1
104	1	1
105	0	3
106	0	1
107	0	3
108	0	3
109	0	1
110	0	1
111	0	1
112	0	1
113	0	1
114	0	1
115	0	1
116	0	2
117	0	1
118	0	1
119	0	2
120	0	1
121	0	1
122	0	1
123	0	1
124	0	2
125	0	2
126	0	1
127	0	1
128	0	1
129	0	1
130	0	2
131	0	2
132	0	3
133	0	1
134	0	3
135	0	2
136	0	1
137	0	1
138	0	1
139	0	1
140	0	2
141	0	1
142	0	1
143	0	1
144	0	1
