Participant	Perc valid	Perc inside	Perc outside	Perc outliers	Perc valid video	Perc inside video	Perc outside video	Perc outliers video	Per valid erp	Perc inside erp	Perc outside erp	Perc outliers erp
P10	62.17	57.16	3.9	1.11	66.35	63.22	1.94	1.18	54.01	48.88	4.47	0.65
P12	68.48	65.61	2.28	0.58	54.6	51.53	1.86	1.2	81.75	80.53	1.19	0.03
P13	50.07	41.3	5.57	3.19	49.31	40.28	5.41	3.61	51.93	43.46	5.68	2.79
P14	69.07	42.77	21.98	4.33	75.65	43.05	26.5	6.1	63.06	44.22	17.22	1.62
P15	53.63	44.31	6.66	2.65	51.03	42.29	5.19	3.55	54.52	44.79	7.65	2.06
P16	28.01	18.61	7.27	2.12	25.77	13.95	8.9	2.92	29.53	24.45	3.92	1.16
P17	49.67	41.06	6.87	1.7	49.43	39.32	8.82	1.25	50.77	45.15	3.13	2.45
P18	60.31	44.79	7.89	7.61	60.05	48.9	6.27	4.86	63.44	41.41	10.74	11.27
P19	27.65	21.24	4.86	1.55	27.66	21.28	4.73	1.65	error	error	error	error
P20	49.89	46.6	1.68	1.58	53.71	51.11	1.61	0.96	
P22	7.94	4.96	2.52	0.47	7.54	4.61	2.48	0.46	
P23	23.13	11.07	8.32	3.74	21.43	9.81	7.77	3.85	34.91	19.82	11.99	3.1
P24	81.24	69.03	7.88	4.32	81.2	68.91	7.91	4.37	67.35	65.61	1.6	0.14
P25	38.64	31.0	2.82	4.79	35.57	29.91	2.18	3.46	41.83	33.4	2.14	6.27
P26	49.66	42.52	5.19	1.93	63.49	56.26	5.8	1.4	
P27	23.26	13.16	7.03	3.07	19.8	10.64	6.4	2.75	29.14	17.41	7.87	3.87
P28	42.84	31.79	8.93	2.13	46.65	36.04	9.89	0.72	37.21	26.4	8.0	2.81
P29	65.83	61.03	3.39	1.4	67.67	64.34	2.91	0.41	63.49	58.69	3.01	1.79
P30	48.34	43.89	2.26	2.17	42.09	36.02	2.54	3.52	55.71	54.22	1.04	0.45
P31	29.32	26.32	1.0	1.98	23.19	18.7	1.34	3.14	34.16	32.46	0.58	1.09
P32	73.44	64.41	1.44	7.59	80.86	72.36	1.22	7.28	68.55	59.09	1.44	8.01
P34	40.86	33.46	3.67	3.72	38.99	32.3	3.62	3.06	44.18	35.84	3.72	4.6
P35	39.46	35.51	3.0	0.94	37.67	33.46	2.99	1.21	40.57	37.09	2.79	0.68
P36	10.57	8.05	1.47	1.06	10.25	7.79	1.6	0.86	9.88	7.22	0.97	1.7
P37	36.41	32.32	3.07	1.0	33.6	29.49	2.96	1.13	40.6	36.46	2.98	1.12
P38	21.64	16.09	2.64	2.9	18.18	13.58	2.22	2.37	15.59	10.07	1.47	4.05
P4	64.78	60.04	3.13	1.62	62.28	57.58	2.92	1.78	68.69	63.61	3.51	1.57
P40	53.79	50.85	1.78	1.14	47.55	45.05	1.07	1.43	74.64	70.58	2.9	1.15
P41	16.66	14.79	0.93	0.94	16.63	14.74	0.94	0.95	0.05	0.0	0.05	0.0
P42	52.93	49.04	2.13	1.75	59.52	55.54	1.81	2.17	40.18	37.09	1.76	1.32
P43	44.46	37.12	1.87	5.45	48.57	41.62	1.46	5.47	42.65	35.04	1.9	5.68
P44	32.0	24.35	4.61	3.03	28.52	22.08	3.84	2.6	36.02	27.92	5.27	2.82
P45	48.33	41.52	3.27	3.53	53.04	48.11	1.85	3.06	38.66	30.39	4.02	4.24
P46	58.39	54.46	2.81	1.11	38.49	33.87	3.42	1.19	77.96	74.85	2.08	1.0
P48	10.73	5.94	2.66	2.12	9.15	5.04	2.4	1.71	
P49	24.48	19.41	3.56	1.51	17.2	13.76	1.85	1.59	38.15	30.15	6.62	1.37
P5	33.21	24.04	4.43	4.73	27.35	18.81	4.9	3.63	39.0	29.01	3.01	6.97
P50	76.91	72.06	1.75	3.09	78.29	71.92	1.2	5.17	73.98	71.48	1.53	0.97
P6	56.1	48.05	4.45	3.59	51.36	43.8	4.91	2.66	61.86	54.04	3.77	4.04
P7	44.28	41.24	2.64	0.38	24.58	22.47	1.77	0.34	63.49	60.58	2.69	0.21
P8	25.54	20.07	3.91	1.56	25.69	19.05	3.96	2.68	25.12	20.86	3.86	0.39
P9	32.6	23.65	3.24	5.69	21.87	11.95	1.79	8.12	41.42	34.42	3.27	3.69
