Participant	1st attempt	1st accepted	2nd attempt	2nd accepted	3rd attempt	3rd accepted	Uncertain	Uncertain_accepted	Total trials
4	69	38	23	6	8	3	1	0	102
6	58	31	13	5	25	7	0	0	97
7	117	83	12	8	14	3	0	0	144
12	99	65	29	19	15	10	0	0	144
13	75	48	40	20	15	0	0	0	131
15	80	59	28	13	35	8	0	0	144
18	44	35	7	4	16	2	3	0	71
29	91	46	23	15	15	3	1	1	131
30	62	43	7	5	17	5	1	1	88
31	90	66	18	14	35	15	0	0	144
37	133	35	1	0	3	0	2	0	140
40	59	34	7	4	6	1	1	1	74
43	39	16	6	1	22	4	1	0	69
46	117	74	10	4	15	9	0	0	143
