participant	per_valid_data	per_outside	per_no_gaze	per_aoi_1	per_aoi_2	per_aoi_3	per_aoi_4
10	97.49	10.24	2.51	5.08	4.64	4.64	1.18	
12	100.0	17.39	0.0	9.29	16.43	0.0	14.74	
13	87.27	3.97	12.73	19.87	4.05	18.03	13.76	
14	64.02	16.85	35.98	1.1	0.29	0.0	0.15	
15	99.71	0.15	0.29	21.22	17.54	21.81	20.12	
16	61.37	38.34	38.63	0.0	0.29	1.99	3.75	
17	29.73	4.56	70.27	0.15	6.99	0.22	7.95	
18	99.85	21.72	0.15	0.0	0.0	0.0	71.58	
19	44.15	6.11	55.85	0.52	0.22	0.07	2.94	
20	59.47	11.57	40.53	0.66	6.41	0.29	9.14	
22	41.71	6.56	58.29	0.52	2.14	0.44	2.87	
23	34.27	2.95	65.73	1.33	0.81	0.07	0.0	
24	99.93	4.78	0.07	21.97	18.37	17.78	22.41	
25	80.57	38.63	19.43	5.89	6.18	6.77	1.18	
26	97.35	0.0	2.65	5.6	18.35	14.96	22.03	
27	48.42	2.28	51.58	0.0	1.4	0.0	0.0	
28	58.22	2.87	41.78	0.52	0.0	4.94	0.0	
29	95.44	13.83	4.56	10.45	0.15	10.74	23.91	
30	66.18	2.94	33.82	19.04	2.57	7.57	15.66	
31	33.75	0.96	66.25	2.28	1.03	12.23	4.35	
32	42.23	2.73	57.77	2.28	1.25	3.46	6.71	
34	55.64	17.46	44.36	0.44	0.07	0.88	7.44	
35	64.78	6.85	35.22	9.06	7.15	0.59	5.16	
36	29.18	2.87	70.82	0.0	1.99	2.06	1.25	
37	28.89	0.52	71.11	4.35	0.96	0.0	0.96	
38	74.91	16.34	25.09	19.13	5.08	4.12	9.05	
38	74.91	16.34	25.09	19.13	5.08	4.12	9.05	
40	89.92	7.28	10.08	11.48	15.82	0.52	20.09	
41	66.76	4.2	33.24	0.0	18.79	13.49	9.29	
42	95.36	0.66	4.64	21.08	18.13	0.0	19.97	
43	41.93	11.94	58.07	0.0	7.66	0.15	0.0	
44	100.0	5.81	0.0	0.0	1.1	0.52	0.0	
45	84.92	34.81	15.08	0.44	25.83	1.77	0.0	
46	80.03	0.37	19.97	0.07	19.97	14.22	22.84	
48	50.96	9.5	49.04	0.22	0.22	1.25	4.79	
49	38.91	1.84	61.09	1.18	0.81	2.73	0.07	
49	38.91	1.84	61.09	1.18	0.81	2.73	0.07	
50	98.6	0.15	1.4	22.7	18.35	12.31	21.0	
P6	47.16	0.29	52.84	0.0	0.07	0.0	0.0	
P6	47.16	0.29	52.84	0.0	0.07	0.0	0.0	
P6	47.16	0.29	52.84	0.0	0.07	0.0	0.0	
P9	65.81	4.64	34.19	14.89	0.0	13.85	15.4	
